n_numbers_in,trial,accuracy
2,65,1.0
4,65,1.0
8,65,1.0
16,65,1.0
32,65,1.0
64,65,1.0
128,65,0.078125
256,65,0.12890625
2,66,1.0
4,66,1.0
8,66,1.0
16,66,1.0
32,66,1.0
64,66,0.046875
128,66,1.0
256,66,0.09375
2,67,1.0
4,67,1.0
8,67,1.0
16,67,1.0
32,67,1.0
64,67,1.0
128,67,1.0
256,67,0.08984375
2,68,1.0
4,68,1.0
8,68,1.0
16,68,1.0
32,68,1.0
64,68,0.09375
128,68,1.0
256,68,0.0
2,69,1.0
4,69,1.0
8,69,1.0
16,69,1.0
32,69,1.0
64,69,1.0
128,69,0.1328125
256,69,1.0
2,70,1.0
4,70,1.0
8,70,1.0
16,70,1.0
32,70,1.0
64,70,1.0
128,70,1.0
256,70,0.13671875
2,71,1.0
4,71,1.0
8,71,1.0
16,71,1.0
32,71,1.0
64,71,0.0625
128,71,1.0
256,71,1.0
2,72,1.0
4,72,1.0
8,72,1.0
16,72,1.0
32,72,1.0
64,72,1.0
128,72,1.0
256,72,0.09375
2,73,1.0
4,73,1.0
8,73,1.0
16,73,0.75
32,73,1.0
64,73,1.0
128,73,0.1328125
256,73,0.1171875
2,74,1.0
4,74,1.0
8,74,1.0
16,74,1.0
32,74,1.0
64,74,0.078125
128,74,0.9921875
256,74,0.0859375
2,75,1.0
4,75,1.0
8,75,1.0
16,75,1.0
32,75,1.0
64,75,1.0
128,75,0.1484375
256,75,1.0
2,76,1.0
4,76,1.0
8,76,1.0
16,76,1.0
32,76,1.0
64,76,1.0
128,76,1.0
256,76,0.1015625
2,77,1.0
4,77,1.0
8,77,1.0
16,77,1.0
32,77,1.0
64,77,1.0
128,77,0.140625
256,77,0.9921875
2,78,1.0
4,78,1.0
8,78,1.0
16,78,1.0
32,78,1.0
64,78,1.0
128,78,0.015625
256,78,0.17578125
2,79,1.0
4,79,1.0
8,79,1.0
16,79,1.0
32,79,1.0
64,79,1.0
128,79,0.0546875
256,79,1.0
2,80,1.0
4,80,1.0
8,80,1.0
16,80,1.0
32,80,1.0
64,80,0.328125
128,80,0.171875
256,80,0.9921875
